UniProt,Protein Name,Organism
A0A4Y7KTL3,Antimicrobial peptide 1,Papaver somniferum (Opium poppy)
A0A7I8L2S5,Uncharacterized protein,Spirodela intermedia (Intermediate duckweed)
A0A4Y7J0E4,Antimicrobial peptide 1,Papaver somniferum (Opium poppy)
A0A286L6T1,Defensin 10,Avena sativa (Oat)
A0A6A6KII0,Uncharacterized protein,Hevea brasiliensis (Para rubber tree)
A0A4D6L8X1,Knottin,Vigna unguiculata (Cowpea)
B8LM35,Antimicrobial peptide 1,Picea sitchensis (Sitka spruce)
Q6K209,Defensin-like protein CAL1,Oryza sativa subsp. japonica (Rice)
A0A4U5N7S9,Gibberellin-regulated protein,Populus alba (White poplar)
A0A6J0MSU5,Thionin-like,Raphanus sativus (Radish)
B1NRR2,Cycloviolacin-O9,Viola biflora (Yellow wood violet)
A0A6J0NE74,Defensin-like protein 2,Raphanus sativus (Radish)
A9P3R6,Cyclotide protein Mra23,Melicytus ramiflorus (Whitey wood)
A0A2U1P8W2,Gibberellin-regulated family protein,Artemisia annua (Sweet wormwood)
A0A453LGP5,Knottin scorpion toxin-like domain-containing protein,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A059P9X9,Antimicrobial peptide polyprotein,Echinochloa crus-galli (Barnyard grass)
W1PA47,Antimicrobial peptide 1,Amborella trichopoda (None)
Q1PCI0,Non-specific lipid-transfer protein,Solanum chacoense (Chaco potato)
W1PCM8,Antimicrobial peptide 1,Amborella trichopoda (None)
A0A6A4PMJ0,"Putative defensin, plant",Lupinus albus (White lupine)
A0A3L6Q0Z4,Uncharacterized protein,Panicum miliaceum (Proso millet)
J7K291,Alpha purothionin,Triticum aestivum (Wheat)
A0A6A6NGM7,Snakin-1,Hevea brasiliensis (Para rubber tree)
A0A200Q2J3,Antimicrobial protein MiAMP1,Macleaya cordata (None)
A0A200Q2J4,Antimicrobial protein MiAMP1,Macleaya cordata (None)
A0A2U1QDR0,Defensin SD2,Artemisia annua (Sweet wormwood)
A0A803QTZ0,Acidic protein,Cannabis sativa (Hemp)
A0A0S3QXX7,Knottin scorpion toxin-like domain-containing protein,Vigna angularis var. angularis (None)
A0A200RB16,Antimicrobial protein MiAMP1,Macleaya cordata (None)
J9Q7X1,Anti-microbial protein,Pinus monticola (Western white pine)
I6QZB1,Cyclotide 2,Petunia hybrida (Petunia)
A0A200RB17,Antimicrobial protein MiAMP1,Macleaya cordata (None)
P80359,Pseudo-hevein,Hevea brasiliensis (Para rubber tree)
A0A200RB20,Antimicrobial protein MiAMP1,Macleaya cordata (None)
A0A4P1RF49,Knottin scorpion toxin-like domain-containing protein,Lupinus angustifolius (Narrow-leaved blue lupine)
A0A022RL49,Knottin scorpion toxin-like domain-containing protein,Erythranthe guttata (Yellow monkey flower)
A0A0S1RRZ5,Albumin 1,Clitoria ternatea (Butterfly pea)
A0A151S2H7,Defensin-like protein 4,Cajanus cajan (Pigeon pea)
J3S6X7,Low-molecular-weight cysteine-rich 69,Vernicia fordii (Tung)
Q9S9A0,Thionin,Viscum album (European mistletoe)
Q9S9A2,Viscotoxin A,Viscum album (European mistletoe)
Q9SDS1,Antimicrobial seed protein,Phytolacca americana (American pokeweed)
D8SEX2,Pherophorin domain-containing protein,Selaginella moellendorffii (Spikemoss)
D8SEX3,Uncharacterized protein,Selaginella moellendorffii (Spikemoss)
D8SEX5,Antimicrobial peptide 1,Selaginella moellendorffii (Spikemoss)
A0A200Q2I8,Antimicrobial protein MiAMP1,Macleaya cordata (None)
A0A6I9STN5,Defensin Ec-AMP-D2-like,Sesamum indicum (Oriental sesame)
B9SZ68,"Wound-induced protein WIN2, putative",Ricinus communis (Castor bean)
A0A6J0LPX3,Thionin-like,Raphanus sativus (Radish)
M9SZP2,Cyclotide B,Viola odorata (Sweet violet)
M9T7B1,Cyclotide C,Viola odorata (Sweet violet)
A0A068TY72,Peamaclein-like,Coffea canephora (Robusta coffee)
A0A4U6U435,Knottin scorpion toxin-like domain-containing protein,Setaria viridis (Green bristlegrass)
B6SL97,Defensin-like protein 1,Zea mays (Maize)
D8SHV4,Uncharacterized protein,Selaginella moellendorffii (Spikemoss)
A0A126TQA4,Cliotide T36,Clitoria ternatea (Butterfly pea)
A7UGH4,Non-specific lipid-transfer protein,Solanum tuberosum (Potato)
A9UKM7,Defensin-like protein,Vigna nakashimae (None)
A0A843VKM6,Antimicrobial peptide 1,Colocasia esculenta (Wild taro)
A0A6A1VKV3,Snakin-1,Morella rubra (None)
A0A0S1RS14,Albumin 1,Clitoria ternatea (Butterfly pea)
A0A1E5VL03,Uncharacterized protein,Dichanthelium oligosanthes (None)
A0A5J9W553,Knottin scorpion toxin-like domain-containing protein,Eragrostis curvula (weeping love grass)
A0A5J9W5N9,Knottin scorpion toxin-like domain-containing protein,Eragrostis curvula (weeping love grass)
R7W7L2,Knottin scorpion toxin-like domain-containing protein,Aegilops tauschii (Tausch's goatgrass)
A0A0R4WG16,Antimicrobial peptide,Nicotiana tabacum (Common tobacco)
A0A178VN36,(thale cress) hypothetical protein,Arabidopsis thaliana (Mouse-ear cress)
D8WS41,Cyclotide Oak10,Oldenlandia affinis (None)
D2WPK7,Cyclotide G,Gloeospermum blakeanum (Rinorea blakeana)
A0A1S3X1P9,Defensin-like protein,Nicotiana tabacum (Common tobacco)
A0A0L9TIZ5,Defensin-like protein,Phaseolus angularis (Azuki bean)
